[INFO] [WallTime: 1414085579.716040] ,1414085579,715977907,154.827586, 347.068966, ||, 162.562500, 259.625000, ||, 175.000000, 154.041667, ||, 197.000000, 63.500000,8.300000, 0.040024, 0.215625, 0.178103, 0.197253
[INFO] [WallTime: 1414085579.864031] ,1414085579,863969087,154.735294, 347.176471, ||, 161.928571, 259.500000, ||, 177.652174, 154.478261, ||, 197.000000, 63.500000,8.300000, 0.039948, 0.213458, 0.178164, 0.200351
[INFO] [WallTime: 1414085580.016033] ,1414085580,15965938,154.636364, 347.181818, ||, 161.571429, 260.142857, ||, 176.809524, 154.000000, ||, 197.000000, 63.000000,8.300000, 0.040024, 0.218311, 0.177478, 0.196490
[INFO] [WallTime: 1414085580.168069] ,1414085580,168008089,154.147059, 347.088235, ||, 162.133333, 259.533333, ||, 175.884615, 154.807692, ||, 197.000000, 63.000000,8.300000, 0.039826, 0.216098, 0.180163, 0.203052
[INFO] [WallTime: 1414085580.316042] ,1414085580,315960884,154.352941, 347.147059, ||, 161.285714, 259.785714, ||, 174.958333, 154.291667, ||, 184.000000, 159.333333,8.300000, 0.039765, 0.218936, 0.179004, 0.203433
[INFO] [WallTime: 1414085580.467981] ,1414085580,467921018,154.454545, 347.030303, ||, 162.416667, 260.000000, ||, 175.115385, 153.769231, ||, 197.000000, 63.500000,8.300000, 0.039704, 0.216510, 0.178302, 0.202243
[INFO] [WallTime: 1414085580.616034] ,1414085580,615971088,154.727273, 347.484848, ||, 161.714286, 259.928571, ||, 175.068966, 153.758621, ||, 197.000000, 63.500000,8.300000, 0.039948, 0.216922, 0.177691, 0.197299
[INFO] [WallTime: 1414085580.764298] ,1414085580,764239072,154.606061, 347.090909, ||, 161.928571, 259.500000, ||, 176.714286, 154.333333, ||, 197.000000, 63.500000,8.300000, 0.039994, 0.218082, 0.179095, 0.202548
[INFO] [WallTime: 1414085581.916040] ,1414085581,915962934,154.500000, 347.366667, ||, 161.666667, 260.000000, ||, 174.375000, 153.791667, ||, 197.000000, 63.000000,8.400000, 0.039979, 0.216129, 0.178027, 0.204303
[INFO] [WallTime: 1414085582.067991] ,1414085582,67928075,154.531250, 347.187500, ||, 160.823529, 260.058824, ||, 177.571429, 153.571429, ||, -nan, -nan,8.400000, 0.039796, 0.216205, 0.177508, 0.197894
[INFO] [WallTime: 1414085582.216012] ,1414085582,215951919,154.656250, 347.656250, ||, 161.571429, 260.000000, ||, 175.652174, 153.086957, ||, 197.000000, 63.500000,8.400000, 0.039857, 0.218235, 0.179232, 0.196033
[INFO] [WallTime: 1414085582.368023] ,1414085582,367960929,155.074074, 346.814815, ||, 160.941176, 259.823529, ||, 176.520000, 153.200000, ||, 197.000000, 63.000000,8.400000, 0.039719, 0.216510, 0.180224, 0.203876
[INFO] [WallTime: 1414085582.515994] ,1414085582,515935897,154.741935, 346.903226, ||, 161.533333, 260.200000, ||, 177.192308, 154.000000, ||, -nan, -nan,8.400000, 0.039796, 0.217060, 0.181048, 0.202716
[INFO] [WallTime: 1414085582.668040] ,1414085582,667973995,154.687500, 346.906250, ||, 160.941176, 260.176471, ||, 177.478261, 153.913043, ||, -nan, -nan,8.400000, 0.039887, 0.219333, 0.178546, 0.204120
[INFO] [WallTime: 1414085582.820065] ,1414085582,820007085,154.484848, 347.242424, ||, 160.812500, 260.500000, ||, 175.961538, 153.230769, ||, 197.000000, 63.500000,8.400000, 0.039857, 0.216678, 0.180865, 0.203250
[INFO] [WallTime: 1414085582.968040] ,1414085582,967974901,154.117647, 346.941176, ||, 161.461538, 259.538462, ||, 176.272727, 153.272727, ||, -nan, -nan,8.400000, 0.039765, 0.215549, 0.180774, 0.202686
