[INFO] [WallTime: 1414164972.452438] ,1414164972,452372074,154.220000, 347.940000, ||, 154.473684, 259.578947, ||, 152.605263, 154.421053, ||, 150.000000, 63.500000,Starting Trials
[INFO] [WallTime: 1414164973.504327] ,1414164973,504264116,154.604167, 348.041667, ||, 175.823529, 261.411765, ||, 235.625000, 170.833333, ||, 312.153846, 124.769231,13.100000, 0.039643, 0.252445, 0.216464, 0.217273
[INFO] [WallTime: 1414164973.655389] ,1414164973,655327081,154.782609, 348.195652, ||, 176.388889, 259.888889, ||, 232.956522, 168.608696, ||, 314.222222, 128.444444,13.100000, 0.039551, 0.253376, 0.217014, 0.225742
[INFO] [WallTime: 1414164973.806373] ,1414164973,806312084,154.645833, 348.187500, ||, 176.944444, 260.833333, ||, 237.148148, 171.407407, ||, 317.500000, 126.300000,13.100000, 0.039612, 0.255192, 0.216739, 0.225254
[INFO] [WallTime: 1414164973.959981] ,1414164973,959920883,158.250000, 343.729167, ||, 177.736842, 260.157895, ||, 239.440000, 173.600000, ||, 318.909091, 129.454545,13.100000, 0.039673, 0.255390, 0.218509, 0.220920
[INFO] [WallTime: 1414164974.112041] ,1414164974,111974000,154.500000, 348.113636, ||, 176.812500, 260.812500, ||, 239.354839, 173.516129, ||, 317.875000, 131.875000,13.100000, 0.039750, 0.258579, 0.219989, 0.227665
[INFO] [WallTime: 1414164974.264030] ,1414164974,263968944,154.702128, 348.234043, ||, 176.923077, 260.769231, ||, 238.782609, 172.347826, ||, 320.125000, 131.937500,13.100000, 0.039567, 0.259190, 0.218631, 0.219623
[INFO] [WallTime: 1414164974.416085] ,1414164974,416002035,154.750000, 348.166667, ||, 177.050000, 261.600000, ||, 241.529412, 173.176471, ||, 321.375000, 133.250000,13.100000, 0.039628, 0.258564, 0.221332, 0.226474
[INFO] [WallTime: 1414164974.564100] ,1414164974,564040899,154.367347, 348.163265, ||, 177.090909, 260.681818, ||, 241.307692, 173.730769, ||, 321.333333, 134.777778,13.100000, 0.039567, 0.260655, 0.220615, 0.221622
[INFO] [WallTime: 1414164974.715984] ,1414164974,715919971,154.431373, 347.980392, ||, 177.000000, 260.600000, ||, 242.700000, 173.350000, ||, 323.058824, 135.058824,13.100000, 0.039750, 0.259449, 0.223026, 0.228244
[INFO] [WallTime: 1414164974.868010] ,1414164974,867954015,155.136364, 348.136364, ||, 176.842105, 261.315789, ||, 243.928571, 174.500000, ||, 322.600000, 135.333333,13.100000, 0.039445, 0.262226, 0.223346, 0.228885
[INFO] [WallTime: 1414164976.016411] ,1414164976,16347885,154.595745, 348.148936, ||, 179.238095, 260.285714, ||, 245.958333, 175.541667, ||, 328.947368, 143.526316,13.200000, 0.039551, 0.268162, 0.227817, 0.230579
[INFO] [WallTime: 1414164976.167984] ,1414164976,167923927,154.489796, 348.142857, ||, 179.411765, 260.647059, ||, 245.045455, 174.181818, ||, 329.578947, 144.210526,13.200000, 0.039521, 0.269841, 0.229664, 0.231189
[INFO] [WallTime: 1414164976.319988] ,1414164976,319930076,154.780000, 348.100000, ||, 179.062500, 261.000000, ||, 247.500000, 175.285714, ||, 329.444444, 144.555556,13.200000, 0.039551, 0.271778, 0.226856, 0.222141
[INFO] [WallTime: 1414164976.471993] ,1414164976,471934080,154.791667, 348.250000, ||, 179.705882, 260.352941, ||, 246.206897, 176.793103, ||, 331.388889, 144.944444,13.200000, 0.039673, 0.270375, 0.228382, 0.230304
[INFO] [WallTime: 1414164976.624015] ,1414164976,623951911,154.588235, 348.098039, ||, 179.666667, 261.200000, ||, 246.884615, 177.923077, ||, 332.111111, 145.166667,13.200000, 0.039765, 0.271382, 0.230289, 0.230655
[INFO] [WallTime: 1414164976.775972] ,1414164976,775912046,154.608696, 348.195652, ||, 179.500000, 260.416667, ||, 246.862069, 177.551724, ||, 331.857143, 144.428571,13.200000, 0.039368, 0.270756, 0.228885, 0.230259
[INFO] [WallTime: 1414164976.928072] ,1414164976,928005933,154.396226, 347.981132, ||, 179.666667, 261.222222, ||, 247.000000, 178.038462, ||, 331.857143, 146.285714,13.200000, 0.039734, 0.272618, 0.232517, 0.222400
[INFO] [WallTime: 1414164977.076006] ,1414164977,75946092,154.770833, 348.187500, ||, 179.437500, 261.437500, ||, 248.000000, 178.760000, ||, 332.450000, 145.700000,13.200000, 0.039475, 0.271839, 0.229450, 0.224338
[INFO] [WallTime: 1414164977.228074] ,1414164977,227989912,154.877551, 348.081633, ||, 179.750000, 262.333333, ||, 247.450000, 179.350000, ||, 332.000000, 146.647059,13.200000, 0.039597, 0.273472, 0.229511, 0.224002
[INFO] [WallTime: 1414164977.380054] ,1414164977,379992008,154.782609, 348.130435, ||, 179.846154, 261.230769, ||, 248.346154, 178.346154, ||, 331.789474, 146.736842,13.200000, 0.039551, 0.274250, 0.231601, 0.232013
[INFO] [WallTime: 1414164978.529321] ,1414164978,529259920,154.666667, 348.039216, ||, 180.500000, 262.166667, ||, 251.500000, 180.500000, ||, 335.500000, 152.222222,13.300000, 0.039567, 0.277913, 0.238468, 0.231235
[INFO] [WallTime: 1414164978.684248] ,1414164978,684021949,154.877551, 348.122449, ||, 180.333333, 261.833333, ||, 251.200000, 181.200000, ||, 336.052632, 152.000000,13.300000, 0.039368, 0.277867, 0.235691, 0.233310
[INFO] [WallTime: 1414164978.832026] ,1414164978,831964969,154.836735, 348.020408, ||, 181.058824, 261.411765, ||, 251.700000, 179.166667, ||, 338.285714, 153.714286,13.300000, 0.039811, 0.279225, 0.238132, 0.226581
[INFO] [WallTime: 1414164978.984026] ,1414164978,983943939,154.740000, 347.960000, ||, 180.687500, 261.687500, ||, 253.357143, 181.464286, ||, 338.437500, 154.062500,13.300000, 0.039750, 0.278904, 0.239567, 0.233783
[INFO] [WallTime: 1414164979.136050] ,1414164979,135987997,154.734694, 348.000000, ||, 181.000000, 261.200000, ||, 249.814815, 179.703704, ||, 337.800000, 154.000000,13.300000, 0.039551, 0.281224, 0.238041, 0.233402
[INFO] [WallTime: 1414164979.288013] ,1414164979,287951946,155.000000, 348.177778, ||, 180.375000, 262.125000, ||, 252.840000, 181.840000, ||, 337.875000, 153.875000,13.300000, 0.039689, 0.280446, 0.236973, 0.232914
[INFO] [WallTime: 1414164979.440068] ,1414164979,440006971,154.580000, 348.100000, ||, 180.842105, 262.052632, ||, 250.807692, 181.000000, ||, 337.500000, 153.750000,13.300000, 0.039704, 0.278965, 0.237827, 0.231235
[INFO] [WallTime: 1414164979.588002] ,1414164979,587939023,154.612245, 348.081633, ||, 180.666667, 261.866667, ||, 251.458333, 180.500000, ||, 338.066667, 154.200000,13.300000, 0.039597, 0.275303, 0.239612, 0.224964
[INFO] [WallTime: 1414164979.740018] ,1414164979,739955902,154.829787, 348.212766, ||, 181.000000, 261.080000, ||, 252.590909, 181.909091, ||, 337.875000, 154.625000,13.300000, 0.039734, 0.280507, 0.237781, 0.223560
[INFO] [WallTime: 1414164979.892077] ,1414164979,892016887,154.916667, 348.166667, ||, 180.913043, 260.782609, ||, 252.125000, 180.625000, ||, 336.933333, 155.200000,13.300000, 0.039368, 0.281834, 0.238743, 0.231769
[INFO] [WallTime: 1414164981.041280] ,1414164981,41217088,154.934783, 348.130435, ||, 180.200000, 261.533333, ||, 255.750000, 182.083333, ||, 341.666667, 159.761905,13.400000, 0.039734, 0.283101, 0.241382, 0.230350
